name,lat,lon,country
Saint John’s,17.12096,-61.84329,AG
Piggotts,17.11667,-61.8,AG
Parham,17.09682,-61.77046,AG
Falmouth,17.02741,-61.78136,AG
Codrington,17.6394,-61.82437,AG
Bolands,17.06565,-61.87466,AG
St. Paul Parish,17.0234,-61.76928,AG
St. George Parish,17.11692,-61.79561,AG
St. Peter Parish,17.08487,-61.71223,AG
St. Mary Parish,17.07223,-61.87441,AG
Tanki Leendert,12.53914,-70.02004,AW
San Nicolas,12.43624,-69.90713,AW
Santa Cruz,12.50953,-69.98094,AW
Savaneta,12.45026,-69.93811,AW
Pos Chiquito,12.46497,-69.96233,AW
Paradera,12.5351,-70.00688,AW
Palm Beach,12.56847,-70.03887,AW
Oranjestad,12.52398,-70.02703,AW
Noord,12.56596,-70.03198,AW
Alto Vista,12.5705,-70.01912,AW
White Hill,13.21373,-59.58111,BB
Welchman Hall,13.18676,-59.57663,BB
Crane,13.10487,-59.44861,BB
Speightstown,13.25072,-59.64396,BB
Oistins,13.07067,-59.54637,BB
Holetown,13.18672,-59.63808,BB
Greenland,13.25808,-59.57763,BB
Four Cross Roads,13.17018,-59.52186,BB
Checker Hall,13.28445,-59.64223,BB
Bridgetown,13.10732,-59.62021,BB
Bathsheba,13.21133,-59.52596,BB
Hamilton,32.2949,-64.78303,BM
Pembroke Parish,32.30019,-64.79204,BM
Devonshire Parish,32.30582,-64.7575,BM
Smith's Parish,32.31389,-64.73897,BM
Hamilton Parish,32.34221,-64.73019,BM
St George's Parish,32.37249,-64.69756,BM
Paget Parish,32.28016,-64.78329,BM
Warwick Parish,32.26574,-64.80922,BM
Southampton Parish,32.25164,-64.85474,BM
Sandys Parish,32.29637,-64.86931,BM
The Bottom,17.62652,-63.24971,BQ
Oranjestad,17.48303,-62.9864,BQ
Kralendijk,12.15,-68.26667,BQ
West End,26.68711,-78.97702,BS
Spanish Wells,25.54717,-76.76405,BS
San Andros,25.06667,-78.05,BS
Port Nelson,23.64967,-74.84157,BS
Nassau,25.05823,-77.34306,BS
